,Date,Time,Location,Operator,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Country,Regions,percent
2479,06/27/1971,18:00,"Garberville, California",Shelter Cove Sea Park,"Shelter Cove, CA - San Jose, CA",Douglas DC-3,N90627,4642,24.0,17.0,0.0,"The aircraft was unable to gain height on takeoff. It struck a transformer and a building, became airborne and went off a cliff into the ocean. Failure of the pilot to remove the rudder and elavator gust locks.", California,Garberville,70.83333333333334
2481,07/21/1971,22:15,"Anchorage, Alaska",Anchorage Helicopter - Air Taxi,"Fairbanks, AK - Local",Bell 206,N7893S,,3.0,3.0,0.0,"The aircraft took off from a roadside lodging, hit wires and crashed and burned. Pilot failed to see and avoid obstruction.", Alaska,Anchorage,100.0
2484,07/25/1971,,"Near Irkutsk, Russia",Aeroflot,Novosibirsk - Irkutsk,Tupolev TU-104B,CCCP-42405,820202,126.0,97.0,0.0,While landing at Irkutsk Airport the aircraft landed short of the runway after an excessive rate of sink. The left wing separated and the plane burst into flames., Russia,Near Irkutsk,76.98412698412699
2486,07/30/1971,14:29,"San Francisco, California",Pan American World Airways,San Francisco - Los Angeles,Boeing B-747-121,N747PA,19639/2,218.0,0.0,0.0,The aircraft struck approach lights at the departure end of runway during takeoff. Miscalculation of available runway length and takeoff reference speed by crew. Erroneous information from the dispatcher. The aircraft was named 'Clipper America.', California,San Francisco,0.0
2487,07/30/1971,15:00,"Near Pau, France",Military - French Air Force,Exercises,Nord 2501 Noratlas,49,,39.0,37.0,0.0,"The plane, carrying parachute trainees, crashed in the flatlands of the Pyrenees during a final approach and after experiencing an engine fire. Two escaped by parachuting out of the plane before it crashed.", France,Near Pau,94.87179487179486
2489,08/12/1971,14:27,"Valdez, Alaska",Trans Alaska Helicopter - Air Taxi,"Valdez, AK - Local",Sikorsky S-55B,N5096V,,2.0,2.0,0.0,The helicopter crashed after the failure of the main rotor. Inadequate inspection and maintenance., Alaska,Valdez,100.0
2492,12/09/1971,07:00,"Chinnamanur, India",Indian Airlines,Trivandrum - Madurai,HAL-748-224 Srs.2,VT-DXG,512,31.0,21.0,0.0,Strayed off course and flew into a mountain., India,Chinnamanur,67.74193548387096
2493,09/04/1971,11:15,"Near Juneau, Alaska",Alaska Airlines,Anchorage - Seattle,Boeing B-727-193,N2969G,19304/287,111.0,111.0,0.0,The aircraft crashed into the slopes of Chikat Mountain in rain and fog while attempting a non-precision instrument landing at Juneau Municipal Airport. Display of misleading navigation information which resulted in the premature descent below obstacle clearance altitude. The crew didn't use all available navaids to check the position of the aircraft., Alaska,Near Juneau,100.0
2496,09/16/1971,,"Presevo, Russia",Yemen Airlines,,Douglas DC-3,4W-ABI,9334,5.0,5.0,0.0,Crashed while taking off. Icing., Russia,Presevo,100.0
2498,09/28/1971,,"Sena Madureira, Brazil",Cruzeiro,Cruzerio do Sul - Rio Branco,Douglas DC-3,PP-CBV,4977,32.0,32.0,0.0,The aircraft tried to return to the airport after an engine fire but the right wing struck trees and it crashed in the Amazon jungle., Brazil,Sena Madureira,100.0
2500,10/13/1971,,"Moscow, Russia",Aeroflot,,Tupolev TU-104B,CCCP-42490,021603,20.0,20.0,0.0,Crashed on takeoff, Russia,Moscow,100.0
2503,10/17/1971,,"San Vicente del Caguan, Colombia",Aerolineas TAO,,Douglas C-47A,HK- 595,19348,22.0,20.0,0.0,"The aircraft crashed and burned short of the runway. A girl, 6, and a boy 3, were the only survivors.", Colombia,San Vicente del Caguan,90.9090909090909
2509,11/12/1971,,"Vinnitsa, Russia",Aeroflot,,Antonov AN-24,CCCP-46809,67302306,47.0,47.0,0.0,The plane crashed during a go-around., Russia,Vinnitsa,100.0
2512,12/01/1971,,"Saratov, Russia",Aeroflot,,Antonov AN-24,CCCP-46788,57301801,57.0,57.0,0.0,Crashed short of runway during approach., Russia,Saratov,100.0
2521,01/21/1972,,"Near Funza, Colombia",Lineas Aéreas la Urraca,Bogota - San Andres,Vickers Viscount 837,HK-1347,442,20.0,20.0,0.0,Crashed shortly after leaving Bogota after an explosion aboard., Colombia,Near Funza,100.0
2522,01/21/1972,10:30,"Near Betania, Colombia",SATENA,Medellin - Buenaventura,Douglas C-47,FAC-661,,39.0,39.0,0.0,The aircraft struck a mountain in rain and thunderstorms operating as a non-scheduled passenger airliner run by the military., Colombia,Near Betania,100.0
2527,02/05/1972,,"Near Valledupar, Colombia",TAC Colombia,Bogota - Valledupar,Fairchild F-27,HK-1139,0075,19.0,19.0,0.0,Disappeared while en route. Wreckage found 3 days later., Colombia,Near Valledupar,100.0
2539,04/12/1972,21:26,"Near Rio de Janeiro, Brazil",VASP,Sao Paulo - Rio de Janeiro,NAMC YS-11A-211,PP-SMI,2059,25.0,25.0,0.0,"Crashed in mountainous terrain,  50 miles north of Rio de Janeiro, while on approach.", Brazil,Near Rio de Janeiro,100.0
2554,05/29/1972,,"Cruzeiro do Sul Acre, Brazil",Amazonese Importacao e Exportacao,,Lockheed 049 Constellation,PP-PDG,2037,18.0,9.0,0.0,"Cashed into trees shortly after taking off after two engines failed. Refueling directly from the trucks, without allowing sufficient time for the fuel to settle.", Brazil,Cruzeiro do Sul Acre,50.0
2556,06/01/1972,11:05,"Valdez, Alaska",Fairbanks Air - Air Taxi,"Fairbanks, AK - Valdez, AK",Cessna U206C,N3990G,,2.0,2.0,0.0,Flew into mountain pass in fog. Wing caught ground in turnaround. Continued VFR flight into adverse weather conditions., Alaska,Valdez,100.0
2562,06/14/1972,20:20,"Near New Delhi, India",Japan Air Lines,Bangkok - Delhi,McDonnell Douglas DC-8-53,JA8012,45860/213,87.0,82.0,4.0,The aircraft crashed short of the runway. Indian officials claimed the crash was caused by a disregard for prescribed procedures in abandoning all instrument references before making visual contact with the runway. Japanese investigators claimed a false glide path signal was responsible for the descent into terrain., India,Near New Delhi,94.25287356321839
2567,06/18/1972,16:11,"London Heathrow,  Staines, Surrey, England",British European Airways,London - Brussels,Hawker Siddeley Trident 1C,G-ARPI,2109,118.0,118.0,0.0,The plane crashed into a field shortly after taking off from Heathrow Airport. The airplane stalled after the wing's leading edge devices were retracted prematurely after takeoff.  Failure of the captain to maintain adequate speed after noise abatement procedures. Premature retraction of the slats. Incapacitation of the captain due to a possible arterial hemorrhage., England,London Heathrow,100.0
2571,06/29/1972,,"Blackpool, England",Inter City Flug,,MBB HFB-320 Hansa Jet,D-CASY,1029,8.0,7.0,0.0,The takeoff was aborted and the plane overran the runway and crashed into a camp and caught fire. Elevator gust locks not removed., England,Blackpool,87.5
2573,07/05/1972,,"San Francisco, California",PacifiSouthwest Airlines,Sacramento - San Francisco,Boeing 737-200,,,86.0,3.0,0.0,Two hijackers and one passenger killed., California,San Francisco,3.488372093023256
2578,07/29/1972,,"Villavicencio, Colombia",AVIANCA / AVIANCA,,Douglas DC-3 / Douglas DC-3,HK1341X/HK107,11716 / 11723,38.0,38.0,0.0,Midair collision. Seventeen aboard the HK-134 and twenty-one aboard the HK-107 killed., Colombia,Villavicencio,100.0
2580,08/12/1972,,"Near Delhi, India",Indian Airlines,Gwalior - Delhi,Fokker F-27 Friendship 100,VT-DME,10175,18.0,18.0,0.0,Crashed on second approach after the pilot used the wrong flap setting and gears down after initiating a go-around., India,Near Delhi,100.0
2585,08/31/1972,,"Near Magnitogorsk, Russia",Aeroflot,,Ilyushin IL-18,CCCP-74298,182004505,101.0,101.0,0.0,"The aircraft crashed, trailing heavy smoke. Fire caused by spontaneous ignition of passenger baggage.", Russia,Near Magnitogorsk,100.0
2590,09/24/1972,,"Sacramento, California",Private,,F-86 Sabrejet,N275X,,1.0,0.0,22.0,"A World War II vintage Sabrejet fighter leaving an air show at Executive Airport was unable to get airborn and crashed into a Farrell's Ice Cream Parlor on Freeport Blvd. Twenty-two people on the ground, including 12 children were killed. The pilot, was pulled from the wreckage by a bystander and survived. The pilot tried to lift off too quickly, pointing the nose of the jet three times higher than the normal angle. Instead of becoming airborne sooner, the plane had trouble getting off the ground.", California,Sacramento,0.0
2594,10/02/1972,18:00,"Near Adler, Russia",Aeroflot,Adler - Moscow,Ilyushin IL-18B,CCCP-75507,183006405,109.0,109.0,0.0,"The flight ditched into Black Sea shortly after takeoff. The accident occurred in good weather and visibility, and ground controllers received no distress message prior to the crash. An investigation failed to reveal its cause.", Russia,Near Adler,100.0
2601,10/27/1972,19:20,"Near Noiretable, Loire, France",Air Inter,Lyon - Clermont,Vickers Viscount 724,F-BMCH,050,68.0,60.0,0.0,Crashed while landing in severe turbulence. Faulty indication by radio compass., France,Near Noiretable,88.23529411764706
2606,11/28/1972,19:51,"Near Moscow, Russia",Japan Air Lines,Moscow - Tokyo,McDonnell Douglas DC-8-62,JA8040,46057/474,76.0,62.0,0.0,"The aircraft lost altitude while taking off and crashed. The copilot responded to the captain's 'gear-up' command by reaching forward and pulling back on the ground spoiler handle, rather than lifting the gear handle which was immediately ahead of the spoiler control. Late night partying by the crew was suspected the night before.", Russia,Near Moscow,81.57894736842105
2622,01/02/1973,08:34,"Edmonton, Alberta, Canada",PacifiWestern Airlines,Toronto - Edmonton,Boeing 707-321C,CF-PWZ,18826/389,5.0,5.0,0.0,"Landing in poor visibility, turbulence and snow, the cargo plane came in for a landing at a high sink rate. The captain took over the controls to try to arrest the sink rate but the plane crashed into trees, a powerline and finally into a ridge short of the runway. The plane broke in two and was destroyed by fire.", Canada,Edmonton,100.0
2623,01/19/1973,14:31,"Near Glasgow, England",British European Airways,Test flight,Vickers 802 Viscount,G-AOHI,158,4.0,4.0,0.0,Crashed into Ben More mountain. The pilot did not maintain a safe altitude and gave insufficient attention to navigation when flying VFR into an area of snow covered high ground in marginal weather conditions., England,Near Glasgow,100.0
2624,01/22/1973,01:00,"Perm, Russia",Aeroflot,,Antonov An-24B,CCCP-46276,77303609,44.0,44.0,0.0,The plane went into a spiral dive. As the crew tried to pull the plane out it broke up due to excesss g loads. Four survived the crash as the plane landed in a blanket of snow but succumbed to the cold before they could be rescued., Russia,Perm,100.0
2629,01/31/1973,12:20,"Kasigluk, Alaska",Harry Faulkner - Air Taxi,"Bethel, AK - Chevak, AK",Cessna 180H,N9929V,,2.0,2.0,0.0,Crashed while en route in poor visibility and blowing snow. Continued VFR flight into adverse weather conditions. Inoperative gyro., Alaska,Kasigluk,100.0
2635,02/24/1973,,"Near Leningrad, Russia",Aeroflot,,Ilyushin IL-18,CCCP-75712,189001804,79.0,79.0,0.0,The aircraft entered a spin and dove into the ground., Russia,Near Leningrad,100.0
2640,03/03/1973,12:45,"Moscow, Russia",Balkan Bulgarian Airlines,Sofia - Moscow,Ilyushin IL-18V,LZ-BEM,182005602,25.0,25.0,0.0,"Crashed, broke up and burst in flames while on second approach after descending below glide slope. Icing of tailplane.", Russia,Moscow,100.0
2642,03/05/1973,13:50,"Near Nantes, France",Lineas Aereas de Espana/Spantax SA Transportes,Palma de Mallorca - London,MD Douglas DC-9-32/Convair CV-990A,EC-BII/EC-BJC,47077/148 /30-10-22,182.0,68.0,0.0,Midair collision. Convair crew improperly assessed collision-course situation. Contributing factor was poor quality of radio transmissions. All sixty-eight aboard the DC-9 were killed while the Convair landed safely., France,Near Nantes,37.362637362637365
2644,03/15/1973,,"Hyderabad, India",Indian Airlines,Training,HAL-748-224,VT-EAU,541,3.0,3.0,0.0,While turning and aligning to land the right wing tip struck power lines and a tree. The aircraft then hit a house and caught fire. Multiple errors by the instructor as well as the trainees due to being under the influence of  alcohol., India,Hyderabad,100.0
2648,04/12/1973,15:00,"Sunnyvale, California",Military - U.S. Navy / NASA,,Lockheed P-3C / Convair CV-990-30A-5,157332/N711NA,5547 / 1,17.0,16.0,0.0,"A Navy P-3C collided with a NASA research jet as it prepared to land at Moffett Naval Air Station. A ground controller mistakenly gave both planes permission to land on the same runway and the NASA plane settled on top of the P-3, 300 ft. off the ground. Both planes crashed onto a golf course. Five aboard the P-3 and 11 aboard the Convair were killed.", California,Sunnyvale,94.11764705882352
2649,04/12/1973,14:50,"Moffett AFB, California",Military - U.S. Navy,,Lockheed P-3C Orion /Convair CV-990,N711NA / 157332, / 185-5547,16.0,15.0,0.0,Mid-air collision while landing. Five of 6 on the Orion and eleven aboard the CV-990 killed. Failure of the crew of the NASA crew to maintain a proper lookout for the P-3 which had transmitted being on the base leg and cleared to continue to Runway 32., California,Moffett AFB,93.75
2653,05/16/1973,10:45,"Deadhorse, Alaska",Winship Air Service - Air Taxi,"Fairbanks, AK - Prudhoe, Alaska",Swearingen SA26T,N1214S,,5.0,2.0,0.0,The pilot became disoriented while attempting to  land and crashed 28nm from the airport. Improper IFR operation., Alaska,Deadhorse,40.0
2654,05/18/1973,,"Chita, Siberia, Russia",Aeroflot,Moscow - Chita,Tupolev TU-104A,CCCP-42411,820303,100.0,100.0,0.0,The aircraft broke up at FL 300. Detonation of a bomb in the cabin being carried by a hijacker., Russia,Chita,100.0
2656,05/29/1973,,"Near Rimouski, Canada",Air Gaspé,,Douglas DC-3,CF-QBB,10081,4.0,4.0,0.0,The plane crashed and burned after striking a tree while on final instrument approach to Rimouski., Canada,Near Rimouski,100.0
2657,05/31/1973,21:50,"Near New Delhi, India",Indian Airlines,Madras - Delhi,Boeing B-737-2A8,VT-EAM,20486/279,65.0,48.0,0.0,The plane crashed and caught fire after hitting power lines during a landing attempt. The landing was made despite visibility below minima. Crew error., India,Near New Delhi,73.84615384615385
2658,06/01/1973,,"Sao Luis, Brazil",Cruzeiro,Belem - Sao Luis,Sud Aviation SE-210 Caravelle VIN,PP-PDX,126/127,23.0,23.0,0.0,"While on a go-around the aircraft attained a nose up attitude, stalled and crashed. Loss of power in the No.1 engine at a critical stage of the landing.", Brazil,Sao Luis,100.0
2659,06/03/1973,,"Goussainville, France",Aeroflot,Demonstration,Tupolev TU-144,CCCP-77102,01-2,6.0,6.0,8.0,"During a steep climb at an airshow, the airplane was observed to level off very abruptly and then begin a dive. The plane broke apart and exploded before crashing into a residential area killing 8 people and seriously injuring 60 others. The pilot, possibly startled by a close encounter with a Mirage jet photographing the TU-144, overreacted causing a compressor stall. The aircraft then went into a dive and broke apart after the aircraft's design capacity was exceeded.", France,Goussainville,100.0
2660,06/09/1973,,"Rio de Janeiro, Brazil",Varig,,Boeing 707-327C,PP-VLJ,19106/502,4.0,2.0,0.0,The cargo plane was making an instrument approach to Runway 14 with the speed brake lever at 45 degrees and inboard spoilers deactivated when it was noted that the spoiler switch cover was open. The captain or copilot then closed the spoiler switch cover and activated the inboard spoiler causing the aircraft to pitch down. The plane descended from a height of about 70 meters and struck approach lights., Brazil,Rio de Janeiro,50.0
2663,07/11/1973,14:03,"Paris, Orly, France",Varig,Rio - de Janerio - Paris,Boeing B-707-345C,PP-VJZ,19106/683,134.0,123.0,0.0,Fire aboard the aircraft in the aft right toilet was reported and an emergency descent made. The plane was heavily damaged by fire before fire fighters could rescue passengers. Most fatalities were due to CO before rescuers could reach passengers. The fire started in the aft right toilet either from an electrical short or discarded cigarette., France,Paris,91.7910447761194
2668,08/04/1973,20:00,"Ketchikan, Alaska",Revilla Flying Service - Air Taxi,"Ketchikan, AK - Metlakatla, AK",Cessna A185F,N70295,,5.0,5.0,0.0,The float plane crashed while en route. Probable cause undetermined., Alaska,Ketchikan,100.0
2669,10/13/1973,20:15,"Near  Domodedovo, Russia",Aeroflot,Tbilisi - Moscow,Tupolev TU-104B,SSR-42486,021504,119.0,119.0,0.0,"After making a right turn, the aircraft plunged to earth from 1,500 ft.  Electrical failure of the compass and main gyro.", Russia,Near  Domodedovo,100.0
2673,08/22/1973,,"El Yopal, Colombia",AVIANCA,Villavicencio - El Yopal,Douglas DC-3,HK-111,4105,17.0,16.0,0.0,Struck a hill in heavy fog. Flying VFR in IFR conditions., Colombia,El Yopal,94.11764705882352
2674,08/27/1973,12:45,"Bogota, Colombia",Aerovias Brasil,Bogota - Cartagena,Lockheed L-188A Electra,HK-777,1115,42.0,42.0,0.0,Crashed into El Cable Mountain after taking off in fog., Colombia,Bogota,100.0
2676,08/28/1973,20:50,"Thirty-five miles west of Los Angeles, California",Trans World Airlines,Honolulu - Los Angeles,Boeing B-707-331B,N8705T,18916/455,149.0,1.0,0.0,"The plane porpoised while descending to LAX. The aircraft was subjected to 2 minutes of peak acceleration forces of 2.4 g.  A combination of design tolerances in the aircraft's longitudinal control system which, under certain conditions, produced a critical relationship between control forces and aircraft response.", California,Thirty-five miles west of Los Angeles,0.6711409395973155
2678,09/08/1973,04:42,"King Cove, Alaska",World Airways,"Travis AFB - Clark AFB - Yokota AFB, Japan",McDonnell Douglas DC-8-63F,N802WA,46146,6.0,6.0,0.0,"Hit mountain at 3,500 ft., in level flight, 15.5 miles east of airport in fog. Improper IFR operation.  Descended below MSA in mountainous terrain.", Alaska,King Cove,100.0
2682,09/24/1973,02:00,"Eagleville, California",Dunlap Aviation - Air Taxi,"Bakersfield, CA - Long Beach, CA",Cessna 310,N3015C,,2.0,2.0,0.0,Crashed into mountain while en route. Failed to see and avoid obstructions in rain and hail. No local navaids. Mountain obscured., California,Eagleville,100.0
2685,09/30/1973,,"Miritituba, Brazil",Aeronorte,,Douglas DC-3A,PT-CEV,20182,9.0,9.0,0.0,"The crew started the takeoff roll at a point 200m down the runway, with a runway distance remaining of 1080m. After taking off, the DC-3 climbed slowly, entered a right turn, stalled and crashed in flames.  Power loss on one or both engines, due to maintenance deficiencies or fuel contamination.", Brazil,Miritituba,100.0
2686,09/30/1973,20:40,"Near Sverdlovsk, Russia",Aeroflot,,Tupolev TU-104B,CCCP-42506,21904,108.0,108.0,0.0,"The aircraft crashed shortly after takeoff while on a go-around. After reaching an altitude of 1,200 ft. the aircraft banked to the left which steepened until the plane began to descend and finally crashed. Malfunctioning artificial horizon.", Russia,Near Sverdlovsk,100.0
2687,10/02/1973,,"Magadan, Russia",Aeroflot,,Antonov AN-12V,CCCP-12967,9346502,10.0,10.0,0.0,Struck high ground after going off course during a go-around., Russia,Magadan,100.0
2688,10/04/1973,,"Itaituba, PA, Brazil",Taxi Aéreo Cesar Aguiar,,Britten-Norman BN-2A-7 Islander,PT-DVN,259,8.0,8.0,0.0,, Brazil,Itaituba,100.0
2689,10/23/1973,,"Guanabara Bay, Brazil",VASP,Rio de Janeiro - Belo Horizonte,NAMC YS-11A-211,PP-SMJ,2068,65.0,8.0,0.0,"The takeoff from Santos Dumont airport was aborted after a loss of power occurred before the V1 speed was reached. Due to poor braking action, emergency brakes were applied. The pilot-in-command retracted the landing gear after it was apparent an overrun was imminent. The aircraft slid into Guanabara Bay.", Brazil,Guanabara Bay,12.307692307692308
2691,10/31/1973,06:05,"La Verne, California",Jack N. Boswick - Air Taxi,"La Verne, California - Willow Rock, Arizona",Cessna 401A,N6273Q,,7.0,2.0,0.0,The aircraft failed to become airborne and overran the runway on takeoff. The landing gear collapsed and the plane crashed. Failed to use checklist. Gust lock engaged., California,La Verne,28.57142857142857
2692,11/02/1973,,"Villavicencio, Colombia",Lineas Aéreas La Urraca,Arauca - Cucuta,Handley Page HPR-7 Herald 101,HK- 718,150,16.0,6.0,0.0,The aircraft crashed after diverting to Villavicencio after experiencing hydrauliproblems and having to feather the No. 1engine., Colombia,Villavicencio,37.5
2696,12/07/1973,,"Moscow, Russia",Aeroflot,,Tupolev TU-104B,CCCP-42503,21901,72.0,13.0,0.0,The aircraft crashed after the wing touched the ground while landing short of the runway., Russia,Moscow,18.055555555555554
2697,12/09/1973,22:55,"Churchill Falls, Newfoundland, Canada",Churchill Falls Co.,Montreal - Churchill Falls,de Havilland DH-125-400A,CF- CFL,NA741/25213,8.0,8.0,0.0,"The aircraft crashed 2 miles short of the runway. Inadequate cockpit discipline, distractions in cockpit. Pilot suffered from visual illusions due to relying on visual cues.", Canada,Churchill Falls,100.0
2698,12/11/1973,,"Sitkin Island, Alaska",Military - U.S. Navy,Elmendorf AFB - Adak,Douglas DC-118,131615,43718/371,10.0,10.0,0.0,Struck a mountain 40 miles from Adak., Alaska,Sitkin Island,100.0
2710,01/06/1974,,"Mukachevo, Russia",Aeroflot,,Antonov AN-24V,CCCP-46357,77303405,24.0,24.0,0.0,, Russia,Mukachevo,100.0
2711,01/09/1974,16:36,"Near Nevia, Colombia",Military - Colombian Air Force,Florencia - Bogota,Hawker Siddeley HS 748-260,FAC-1103,1704,31.0,31.0,0.0,The domestiflight crashed into a mountain while en route to Bogota. A fire broke out in the cabin soon after taking off., Colombia,Near Nevia,100.0
2713,01/17/1974,18:15,"Cigerdu, Colombia",Cessnyca,,Douglas DC-3A,HK-1216,1905,14.0,14.0,0.0,Crashed after climbing to cruising altitude., Colombia,Cigerdu,100.0
2714,01/25/1974,,"Rostov, Russia",Aeroflot,,Antonov An-24B,CCCP-46277,77303610,4.0,4.0,0.0,On a positioning flight the aircraft crashed past the end of the runway. Failure of the artificial horizon., Russia,Rostov,100.0
2726,03/03/1974,11:41,"Near Ermenonville, France",Turkish Airlines (THY),Paris - London,McDonnell Douglas DC-10-10,TC-JAV,46704/29,346.0,346.0,0.0,"The aircraft crashed shortly after takeoff from Orly Airport in Paris, France. Climbing through FL110 the aircraft lost the rear cargo door, resulting in explosive decompression and damage to the cabin floor and control cables. The aircraft lost control and crashed in a forest at a high rate of speed. The service subcontractor and the flight engineer neglected to check the locking mechanism through a recently installed viewport to verify the door was latched properly. In addition, although a service bulletin stipulated that the locking pin should be extended, it was mistakenly shortened causing the latch to release after the cabin was pressurized. On June 12, 1972, an American Airlines DC-10 lost its cargo door shortly after taking off from Detroit Michigan. Using mainly engine thrust the crew was able to land safely. The cause was a defect in the latching mechanism on the door.", France,Near Ermenonville,100.0
2729,03/13/1974,19:28,"Bishop, California",Sierra PacifiAirlines,Bishop - Burbank,Convair CV-440,N4819C,138,36.0,36.0,0.0,"The aircraft crashed into Poleta Ridge, in the foothills of  the White Mountains at 6,100 ft.  The Wolper Productions Inc. movie crew was being flown from Bishop to Burbank. The flight was being conducted under VFR conditions. It could not be determined why the crew did not maintain a safe distance from hazardous terrain.", California,Bishop,100.0
2735,04/27/1974,,"Near Leningrad, Russia",Aeroflot,,Ilyushin IL-18B,CCCP-75559,184007703,118.0,118.0,0.0,The aircraft crashed after report of a heavy vibration and fire in the No. 4 engine. Structural failure of turbine disin No. 4 the engine., Russia,Near Leningrad,100.0
2741,05/31/1974,,"Rankin Inlet, Canada",Lambair,,Bristol 170 Freighter 31E,CF-QWJ,13078,2.0,2.0,0.0,The cargo plane suffered an engine failure and spiraled into the ground., Canada,Rankin Inlet,100.0
2744,06/30/1974,13:00,"Umiat, Alaska",Alaska Helicopter - Air Taxi,"Umiat, AK - Local",Fairchild Hiller FH1100,N8679,,5.0,5.0,0.0,Crashed after the fatigue fracture of the swachplate assembly. Inadequate maintenance and inspection., Alaska,Umiat,100.0
2745,07/24/1974,09:45,"Bogota, Colombia",Aeronorte Colombia,,Douglas DC-4,HK-728,10507,3.0,3.0,0.0,"The cargo plane crashed into a mountain at 7,000 ft. shortly after taking off.", Colombia,Bogota,100.0
2747,08/05/1974,,"Mt. Apica, Canada",Laurentian Air Services,LaTuque - St. Honore,Douglas DC-3,C-FTAT,11850,11.0,5.0,0.0,Struck high ground while attempting to land at St. Honore., Canada,Mt. Apica,45.45454545454545
2750,08/12/1974,14:50,"Cali, Colombia",AVIANCA,Tumaco - Bogota,Douglas C-47-DL,HK-508,4527,27.0,27.0,0.0,The crew became lost in rainy weather and crashed into Trujillo Mountain. Wreckage found 2 months later., Colombia,Cali,100.0
2751,08/13/1974,18:35,"Anaktuvuk, Alaska",MerriAviation - Air Taxi,"Dietrich, AK - Happy Valley, AK",de Havilland DHC-2,N7620,,4.0,4.0,0.0,"Tried to fly through an obscure mountain pass, tried to turn around and hit the ground.", Alaska,Anaktuvuk,100.0
2759,09/19/1974,03:50,"Riverside, California",Riverside Air,"Las Vegas, NV - Riverside, CA",Piper PA-32,N15528,,5.0,5.0,0.0,Crashed into cables and caugt fire after a third attempt to land.  Improper IFR procedures. Pilot descended below MDA on VOR approach., California,Riverside,100.0
2760,09/22/1974,09:55,"Fairbanks, Alaska",Frontier Flying Service - Air Taxi,"Fairbanks, AK - Dietrich, AK",Cessna 185,N70026,,2.0,2.0,0.0,The aircraft suffered engine failure during takeoff and crashed. Excessive ware of spark plugs. Inadequate inspection and maintenance., Alaska,Fairbanks,100.0
2761,10/01/1974,21:40,"Lupine, Alaska",Winship Air Service,"Fairbanks, AK - Lupine, AK",Volpar 18,N357V,,6.0,6.0,0.0,Crashed after encountering airframe icing. Failed to follow approved procedures and directives. Improper operation of powerplant and powerplant controls., Alaska,Lupine,100.0
2763,10/09/1974,,"Medfra, Alaska",Evergreen Helicopter - Air Taxi,,Bell 205A,N2970W,,3.0,3.0,0.0,Main rotor separated due to overloading. Evidence of mast bumping. Improper operation of flight controls., Alaska,Medfra,100.0
2766,10/17/1974,08:50,"Kassan, Alaska",Webber Airlines -Air Taxi,"Kassan, AK - Coffman Cove, AK",de Havilland DHC-2,N129WA,,8.0,5.0,0.0,Entered local fog conditions after takeoff and collided with trees. Pilot initiated flight in adverse weather conditions., Alaska,Kassan,62.5
2771,11/09/1975,,"Willow, Alaska",Willow Air Service - Air Taxi,"Willow, AK - Local",Piper PA-18,N2580P,,3.0,3.0,0.0,Failed to maintain flying speed while in the initial climb. Stalled and crashed. Incorrect trim setting. Plane overloaded., Alaska,Willow,100.0
2772,10/27/1974,23:36,"Old Man's Camp, Alaska",Alaska International Air,Fairbanks - Bettles,Lockheed L-100 Hercules,N102AK,4234,4.0,4.0,0.0,"While en route, the cargo plane lost a wing and spiraled into the ground. Failure of the right wing in fight. Fatigue fracture. Inadequate maintenance and inspection.", Alaska,Old Man's Camp,100.0
2774,10/30/1974,02:30,"Rae Point, Northwest Territories, Canada",Pan ArctiOil,,Lockheed 188PF Electra,C-FPAB,1141,34.0,32.0,0.0,Crashed into the sea 2 miles short of the runway., Canada,Rae Point,94.11764705882352
2776,11/15/1974,13:00,"Hoonah, Alaska",Southeast Sky - Air Taxi,"Juneau, AK - Tenakee, AK",de Havilland DHC-2,N97702Z,,4.0,4.0,0.0,The float equiped plane crashed into the bay in blowing snow and poor visibility. Continued VFR flight into adverse weather conditions., Alaska,Hoonah,100.0
2784,12/11/1974,,"Near Old Harbors, Alaska",Kodiak Airways,"Old Harbor, AK - Kodiac, AK",Grumman G-21,N1583V,1125,5.0,5.0,0.0,Disappeared en route. Never found., Alaska,Near Old Harbors,100.0
2790,01/03/1975,,"Moscow, Russia",Aeroflot,,Tupolev TU-124,CCCP-45037,351002,61.0,61.0,0.0,Crashed shortly after taking off., Russia,Moscow,100.0
2794,01/08/1975,08:30,"Near Doncello, Colombia",SATENA,San Vicente del Caguan - Florencia,Douglas DC-3,FAC-688,,21.0,21.0,0.0,Crashed and burned in mountains while en route. Improper flight planning by proceeding in mountainous terrain during adverse weather conditions which had reduced visibility along the route., Colombia,Near Doncello,100.0
2795,01/09/1975,16:07,"Whittier, California",Golden West Airlines / Private,Ontario - Los Angeles,de Hav Can. DHC-6 Tw Otter 100/ Cessna,N6383,83,14.0,14.0,0.0,"Midair collision between a DHC-6 and a Cessna 150 at 2,200 feet while approaching Ontario Airport. Twelve aboard the Otter  and two aboard the Cessna killed. The failure of both flight crews to see the other aircraft in sufficient time to initiate evasive action. This was because of the position of the sun, the closure angle of the aircraft and the necessity of the Twin Otter's flight crew to acquire visual contact with radar reported traffidirectly ahead of them.", California,Whittier,100.0
2796,01/13/1975,17:00,"Juneau, Alaska",Channel Flying Service - Air Taxi,"Juneau, AK - Return",de Havilland DHC-2,N1944,,5.0,5.0,0.0,The aircraft disappeared after attempting to return to Juneau. Not found. Probable cause unknown., Alaska,Juneau,100.0
